FUN,BLInv1,BLInv2,BLInv3,BLInv4,BLInv5,BLInv6,BLNat1,BLNat2,BLNat3,BLNat4,BLNat5,BLNat6,CBInv1,CBInv2,CBInv3,CBNat1,CBNat2,CBNat3,CHInv1,CHInv3,CHInv4,CHInv5,CHNat1,CHNat2,CHNat3,CHNat4,CHNat5,CMInv1,CMInv2,CMInv3,CMNat1,CMNat2,CMNat3,CRInv1,CRInv2,CRInv3,CRNat1,CRNat2,CRNat3,PLBInv1,PLBNat1,Rt2Inv1,Rt2Inv2,Rt2Inv3,Rt2Nat1,Rt2Nat2,Rt2Nat3,SBInv1,SBNat1
161,163901,200228,212645,169589,244238,240413,26017,75848,201195,234646,208805,64311,88316,51033,96899,45293,202159,180152,127499,60554,101956,110303,66265,153347,110285,185868,98800,102676,101718,43339,133250,121799,62534,38560,93162,312,110369,30929,61591,119884,68391,22287,36638,194470,7917,35771,77807,50041,31891
162,136017,166172,176448,140747,202675,199503,21713,62967,166978,194729,173270,53381,73359,42369,80435,37605,167741,149488,105862,50311,84726,91603,55051,127295,91578,154271,82056,85221,84418,35996,110585,101122,51850,32059,77300,318,91578,25712,51184,99500,56780,18585,30554,161378,6610,29664,64677,41543,26485
163,285,350,370,295,425,420,45,130,350,410,365,110,155,90,170,80,350,315,220,105,179,190,115,265,190,325,170,180,175,75,230,210,110,65,160,0,190,55,105,210,120,40,65,340,15,60,138,85,55
164,3378,4129,4384,3496,5037,4960,532,1561,4149,4839,4307,1324,1817,1050,1994,928,4167,3714,2627,1245,2095,2274,1364,3160,2271,3832,2035,2113,2093,889,2746,2511,1286,790,1918,0,2273,632,1266,2469,1402,456,751,4010,159,731,1600,1030,653
165,137642,168162,178597,142446,205125,201915,21824,63699,168964,197060,175347,53978,74142,42838,81404,37991,169774,151290,107070,50838,85444,92622,55627,128774,92598,156093,82981,86218,85423,36372,111904,102316,52499,32373,78216,191,92639,25937,51636,100673,57319,18694,30738,163316,6659,29963,65284,42051,26769
166,99657,121773,129337,103146,148540,146220,15740,46102,122345,142764,127002,39051,53671,31006,58941,27494,122970,109588,77487,36759,61858,67027,40222,93212,66990,113013,60034,62427,61844,26312,81066,74061,38050,23488,56671,156,67148,18769,37397,72910,41505,13465,22231,118368,4890,21736,47299,30482,19385
167,1012905,1237159,1313892,1048339,1509084,1485412,160343,469136,1242755,1449450,1289821,396949,545948,315753,599670,280371,1249102,1113326,788187,374905,628960,681546,409594,947876,681651,1148564,611204,634997,629150,268588,823821,753102,386822,238557,575804,1716,681879,191268,380459,741186,421985,138460,226955,1201636,49703,220763,480630,310148,197835
168,1045776,1277273,1356560,1082311,1558061,1533654,165527,484328,1283192,1496586,1331713,409895,563512,325936,619037,289414,1289877,1149540,813503,386749,649309,703530,422699,978405,703489,1185722,630783,655407,649494,277032,850551,777517,399429,246295,594600,1783,704071,197474,392729,765147,435729,142606,234092,1240776,51273,228094,496250,320062,204278
169,397784,486003,516150,411689,592815,583540,63009,184126,488284,569453,506742,155916,214356,123854,235272,109896,490679,437272,309498,146991,246948,267684,160815,372218,267670,451150,239868,249254,246926,105216,323461,295692,151811,93619,226080,631,267810,75051,149332,291012,165734,54117,88897,472071,19309,86684,188738,121525,77435
170,731924,894208,949756,757495,1090801,1073765,116180,338714,898489,1048092,932598,287227,394341,227690,432775,201946,902932,804567,569303,270280,454394,492537,295779,684739,492366,830058,441189,458431,454198,193382,595180,544133,279257,172151,415882,1055,492701,137889,274688,535355,304850,99275,163442,868691,35480,159354,347234,223534,142341
171,1151067,1406200,1493520,1191198,1715317,1688480,182801,532760,1412881,1648116,1466511,451850,620225,358303,680804,317791,1419942,1265298,895301,425138,714671,774594,465237,1076838,774344,1305297,693922,721139,714452,304353,936051,855794,439372,270868,654073,1721,774887,216968,432088,842010,479550,156322,257209,1366088,56008,250732,546139,351727,224146
172,320019,390932,415191,331145,476852,469382,50897,148144,392803,458156,407667,125687,172428,99708,189291,88476,394774,351798,248911,118215,198701,215307,129356,299371,215286,362874,192904,200534,198672,84677,260247,237819,122205,75363,181900,588,215474,60420,120189,234115,133370,43512,71562,379821,15613,69826,151895,97766,62387
173,77163,94266,100124,79859,114991,113192,12263,35715,94721,110485,98313,30295,41575,24010,45630,21300,95190,84819,60017,28501,47903,51924,31188,72186,51909,87506,46510,48330,47888,20396,62746,57357,29456,18146,43842,115,51952,14548,28967,56436,32153,10471,17216,91579,3741,16807,36594,23564,15017
174,4627469,5653021,6003680,4788647,6895394,6787407,734784,2142314,5680204,6624514,5894696,1815619,2493519,1440974,2736990,1278454,5707758,5086339,3599702,1710007,2874050,3114290,1870856,4329280,3113466,5247459,2789982,2899234,2872393,1224158,3762703,3439958,1766135,1089449,2629737,8219,3115219,873274,1737629,3384878,1928362,629707,1034724,5491289,225144,1008693,2196322,1413804,901431
175,3147338,3844887,4083521,3256982,4689912,4616550,500235,1456882,3863419,4506141,4009638,1235465,1695821,979698,1861285,869057,3882212,3459411,2448031,1162604,1954411,2118082,1272296,2944254,2117351,3568953,1897256,1971706,1953378,832181,2559280,2339768,1201169,740556,1788307,5297,2118632,593536,1181674,2302088,1311442,427699,703442,3734963,153040,685907,1493602,961296,612753
176,11835,14454,15357,12254,17637,17356,1892,5482,14527,16943,15080,4643,6370,3676,7012,3263,14598,13003,9205,4370,7339,7959,4784,11067,7957,13420,7136,7405,7351,3125,9625,8792,4514,2776,6733,7,7967,2229,4437,8653,4928,1604,2635,14038,562,2574,5610,3619,2302
177,1150991,1405764,1492964,1191102,1714769,1687853,182219,532974,1412355,1647140,1465613,451159,620129,358566,681294,318198,1419514,1265055,895181,425541,714726,774312,465101,1076651,774118,1304896,694079,721214,714802,304763,936073,855808,439568,270833,654317,1757,774783,217169,432221,841976,479629,156846,257459,1365504,56419,250824,546006,352263,224753
178,171828,209897,222864,177833,256003,251980,27145,79598,210874,245818,218759,67322,92610,53577,101686,47596,211846,188823,133764,63681,106821,115681,69531,160857,115709,194865,103727,107712,106749,45585,139687,127706,65555,40471,97678,351,115650,32536,64556,125721,71574,23603,38491,203844,8347,37429,81536,52568,33522
179,1587969,1939450,2059671,1643570,2365746,2328556,251313,735537,1948284,2272274,2021970,622328,855847,495033,940285,439573,1958239,1745318,1235516,587735,986346,1068524,642092,1485839,1068519,1800518,958268,995364,986413,421045,1291562,1180840,606499,373998,902793,2779,1069057,299982,596655,1161925,661886,217120,355619,1883762,77951,346319,753504,486458,310387
180,311969,381067,404718,322904,464867,457594,49405,144464,382829,446528,397355,122383,168087,97191,184633,86329,384825,342924,242740,115411,193660,209924,126136,291961,209934,353793,188229,195485,193737,82617,253719,231925,119045,73436,177414,494,210055,58920,117126,228237,129913,42558,69774,370146,15147,68059,147999,95424,60861
181,689184,841786,894002,713295,1026828,1010719,109084,319197,845639,986278,877642,270034,371445,214819,408027,190700,849980,757567,536230,255003,427991,463708,278645,644900,463739,781488,415802,432006,428055,182670,560503,512379,263245,162363,391846,1184,464060,130147,258856,504301,287168,94105,154394,817685,33818,150221,327094,210979,134618
182,759226,927404,984981,785746,1131312,1113605,120260,351530,931747,1086814,967094,297700,409086,236521,449233,209960,936533,834589,590631,280667,471513,510855,306891,710368,510798,860950,457886,475703,471371,200931,617459,564404,289785,178778,431693,1304,511129,143282,285045,555421,316261,103345,169765,900837,36997,165596,360283,232209,148066
183,306935,374942,398235,317745,457411,450245,48494,142151,376646,439356,390963,120290,165416,95706,181707,84973,378737,337529,238821,113517,190606,206484,124051,287226,206515,348106,185193,192356,190645,81287,249651,228180,117213,72342,174630,514,206713,57979,115296,224629,127864,41816,68628,364311,14957,66958,145675,93967,59952
184,142990,174566,185448,147923,212953,209592,22759,66216,175436,204619,182074,56154,77013,44524,84635,39506,176268,157095,111138,52813,88916,96191,57807,133678,96132,162043,86167,89538,88771,37832,116294,106287,54591,33608,81270,261,96189,26937,53709,104557,59641,19449,32001,169545,7035,31174,67905,43750,27940
185,546612,667691,709039,565709,814426,801634,86546,253228,670850,782290,696085,214238,294593,170527,323641,151370,674265,600938,425232,202188,339594,367797,220949,511396,367738,619789,329681,342653,339554,144856,444512,406350,208894,128959,310913,1051,368086,103366,205332,399943,227899,74610,122422,648624,26885,119372,259557,167293,106907
186,557608,681254,723524,577049,830985,817994,88649,258092,684517,798461,710466,218923,300535,173512,329742,153924,687966,612969,433721,205902,346340,375312,225377,521644,375119,632356,336163,349304,346077,147393,453463,414673,212817,131217,316888,920,375410,105156,209416,407856,232504,75724,124556,661847,27105,121566,264644,170311,108556
187,231969,283347,300945,240071,345634,340222,36765,107400,284693,332055,295458,90973,124993,72254,137260,64124,286183,255006,180415,85706,144013,156051,93728,216982,156006,263017,139859,145317,144029,61374,188674,172461,88589,54598,131859,392,156190,43787,87136,169705,96662,31548,51871,275312,11344,50566,110075,70927,45260
188,197645,241468,256396,204720,294572,289931,31243,91595,242506,282846,251737,77466,106585,61656,117122,54824,243743,217276,154022,73392,122848,133083,80050,185184,133225,224285,119499,123937,122840,52528,160715,146887,75407,46658,112465,427,133143,37471,74326,144688,82354,27249,44322,234482,9611,43078,93829,60613,38598
189,493442,602702,640030,510651,735147,723592,78182,228623,605579,706147,628327,193421,265924,153983,292195,136685,608660,542464,383823,182507,306574,332004,199457,461595,331927,559448,297584,309333,306543,130790,401273,366815,188618,116442,280667,977,332280,93330,185374,361029,205766,67358,110533,585515,24302,107793,234336,151037,96577
190,678539,828781,880254,702242,1010983,995122,107563,314230,832679,971228,864209,266187,365584,211483,401649,187697,837013,745895,527742,250787,421308,456479,274226,634721,456367,769326,409178,425162,421393,179620,551890,504446,259125,159774,385732,1140,456781,128086,254789,496392,282705,92363,151762,805173,33152,148006,321998,207611,132513
191,233935,285710,303523,242021,348544,343100,37077,108236,287083,334846,297972,91671,125978,72811,138312,64607,288572,257158,181889,86361,145309,157339,94513,218784,157299,265211,140938,146521,145190,61831,190266,173837,89240,54914,132917,279,157425,44031,87800,171099,97385,31718,52248,277600,11327,50900,110924,71476,45557
192,368513,450119,478127,381362,549132,540548,58459,170584,452238,527625,469480,144647,198585,114757,217993,101875,454717,405163,286568,136090,228781,247925,148875,344716,247829,417851,222162,230826,228776,97460,299752,274095,140720,86714,209506,511,248080,69481,138354,269586,153542,49995,82328,437330,17926,80391,174820,112685,71918
193,282818,345502,366861,292740,421436,414816,44775,130996,347109,404754,360173,110829,152406,88104,167403,78190,348813,310856,220108,104695,175808,190364,114356,264689,190356,320752,170662,177209,175641,74925,229939,210259,107920,66609,160807,473,190452,53432,106278,206900,117876,38664,63223,335568,13750,61539,134174,86534,55156
194,488774,597092,634174,505906,728353,716953,77448,226336,599907,699661,622576,191638,263439,152265,289222,135148,602954,537360,380268,180705,303615,328885,197583,457335,328866,554304,294786,306272,303465,129383,397474,363377,186643,115150,277865,848,329128,92264,183622,357618,203758,66550,109344,580070,23824,106592,232053,149428,95343
195,112993,137958,146583,116933,168324,165667,17979,52309,138622,161756,143939,44374,60876,35154,66879,31184,139342,124168,87841,41722,70213,76017,45679,105662,75976,128088,68118,70743,70144,29878,91919,84023,43157,26577,64227,159,76031,21262,42442,82644,47102,15325,25255,134035,5539,24600,53653,34581,22053
196,119714,146217,155274,123896,178344,175548,18978,55481,146916,171268,152414,46875,64498,37347,70866,33135,147612,131573,93136,44315,74301,80547,48419,112002,80558,135737,72194,75056,74350,31735,97322,88948,45720,28216,68054,224,80587,22628,44945,87573,49868,16356,26764,142018,5875,26086,56778,36597,23389
197,6310,7711,8191,6533,9408,9262,997,2922,7748,9039,8043,2475,3401,1964,3733,1741,7791,6944,4906,2328,3914,4246,2546,5904,4243,7158,3801,3954,3918,1665,5132,4691,2418,1495,3593,5,4254,1188,2368,4617,2635,852,1409,7498,314,1375,2995,1927,1231
198,14068,17182,18227,14537,20936,20601,2322,6524,17290,20128,17905,5574,7584,4385,8318,3874,17315,15425,10937,5202,8783,9489,5702,13140,9464,15933,8468,8809,8736,3723,11435,10454,5359,3319,7974,69,9455,2677,5293,10271,5884,1945,3180,16686,717,3070,6699,4299,2746
199,86,104,111,88,128,126,14,40,105,122,109,34,46,26,50,24,106,94,66,32,53,58,34,80,58,97,52,54,53,22,70,64,32,20,48,0,58,16,32,62,36,12,19,102,4,18,40,26,16
200,41657,50878,53998,43086,62040,61056,6577,19308,51133,59554,52987,16313,22433,12999,24652,11520,51314,45744,32403,15425,25866,28049,16841,38961,28025,47212,25123,26111,25878,11044,33856,30971,15882,9817,23665,88,28010,7883,15637,30456,17355,5732,9317,49380,2043,9067,19746,12753,8128
201,86,104,111,88,128,126,14,40,105,122,109,34,46,26,50,24,106,94,66,32,53,58,34,80,58,97,52,54,53,22,70,64,32,20,48,0,58,16,32,62,36,12,19,102,4,18,40,26,16
202,21802,26646,28288,22563,32491,31979,3444,10097,26779,31202,27759,8534,11745,6788,12900,6021,26894,23964,16954,8047,13530,14666,8804,20387,14658,24721,13131,13664,13534,5762,17727,16205,8351,5134,12389,37,14703,4124,8194,15945,9120,2961,4862,25880,1070,4766,10342,6650,4253
203,86,104,111,88,128,126,14,40,105,122,109,34,46,26,50,24,106,94,66,32,53,58,34,80,58,97,52,54,53,22,70,64,32,20,48,0,58,16,32,62,36,12,19,102,4,18,40,26,16
204,202105,246837,262137,209100,301067,296333,31987,93576,248018,289189,257318,79156,108833,62933,119590,55785,249155,222066,157148,74676,125440,135985,81668,188987,135892,229086,121823,126608,125466,53470,164349,150281,77128,47490,114805,260,135993,38065,75836,147812,84132,27512,45193,239689,9856,43964,95837,61847,39393
205,499,610,648,516,744,732,79,230,612,715,636,195,268,155,295,137,615,549,388,184,309,335,201,467,335,566,300,312,310,131,406,371,190,117,283,0,335,94,187,365,207,67,111,592,24,108,236,152,96
206,145639,177904,188957,150704,217015,213612,23106,67401,178758,208509,185526,57145,78464,45308,86129,40192,179606,160046,113273,53791,90442,98011,58858,136238,97965,165140,87803,91212,90387,38494,118428,108285,55561,34262,82745,215,98003,27431,54647,106518,60641,19781,32568,172803,7056,31693,69114,44513,28332
207,8429,10295,10928,8742,12561,12359,1333,3912,10335,12054,10731,3298,4546,2630,5009,2344,10382,9255,6583,3151,5237,5683,3426,7910,5696,9571,5117,5285,5246,2252,6852,6263,3206,1991,4795,23,5673,1606,3168,6170,3505,1185,1898,9987,404,1834,4000,2598,1645
208,476892,582438,618548,493469,710425,699259,75467,220826,585159,682387,607194,186874,256851,148574,282303,131790,587990,524075,370862,176285,295992,320822,192717,446026,320703,540601,287544,298844,296146,126257,387822,354548,182087,112180,270996,670,320983,89906,179017,348837,198565,64989,106646,565662,23312,103822,226171,145986,93044
209,57720,70515,74889,59737,86006,84658,9146,26718,70851,82615,73516,22620,31093,17952,34132,15924,71169,63422,44899,21333,35826,38844,23338,53996,38834,65453,34803,36157,35820,15256,46930,42909,22007,13567,32789,93,38840,10877,21666,42209,24031,7850,12893,68475,2792,12570,27391,17627,11217
210,12809,15646,16607,13245,19079,18778,2018,5932,15731,18322,16297,5009,6903,3984,7574,3524,15785,14063,9957,4731,7954,8627,5171,11974,8611,14515,7717,8023,7956,3388,10406,9542,4889,3014,7279,19,8616,2415,4805,9360,5358,1751,2858,15189,629,2792,6068,3910,2495
211,25271,30884,32803,26158,37675,37091,3991,11684,31029,36200,32208,9902,13612,7844,14935,6959,31192,27786,19652,9313,15674,17001,10198,23640,16991,28664,15229,15820,15674,6660,20547,18803,9644,5934,14354,14,17016,4751,9486,18486,10523,3405,5620,30007,1210,5497,11979,7704,4897
212,337437,412216,437777,349197,502813,494921,53537,156259,414212,483031,429818,132317,181856,105167,199640,93290,416228,370945,262496,124708,209554,227088,136430,315688,227037,382643,203437,211455,209503,89321,274381,250824,128887,79511,191782,660,227160,63751,126713,246852,140647,45941,75456,400444,16502,73608,160165,103119,65828
213,86,104,111,88,128,126,14,40,105,122,109,34,46,26,50,24,106,94,66,32,53,58,34,80,58,97,52,54,53,22,70,64,32,20,48,0,58,16,32,62,36,12,19,102,4,18,40,26,16
214,86,104,111,88,128,126,14,40,105,122,109,34,46,26,50,24,106,94,66,32,53,58,34,80,58,97,52,54,53,22,70,64,32,20,48,0,58,16,32,62,36,12,19,102,4,18,40,26,16
215,86942,106216,112778,89964,129541,127507,13744,40251,106733,124415,110695,34069,46815,27046,51423,23977,107175,95518,67618,32126,54027,58513,35125,81318,58472,98569,52418,54445,53955,22971,70648,64639,33137,20440,49384,135,58496,16388,32617,63571,36221,11840,19403,103107,4197,18887,41239,26554,16901
216,5672,6932,7364,5871,8458,8326,896,2622,6965,8126,7230,2223,3053,1762,3351,1560,7001,6237,4411,2091,3518,3816,2288,5307,3814,6435,3416,3550,3518,1493,4610,4214,2158,1327,3226,3,3817,1064,2124,4147,2355,764,1261,6734,269,1228,2687,1729,1096
217,57720,70515,74889,59737,86006,84658,9146,26718,70851,82615,73516,22620,31093,17952,34132,15924,71169,63422,44899,21333,35826,38844,23338,53996,38834,65453,34803,36157,35820,15256,46930,42909,22007,13567,32789,93,38840,10877,21666,42209,24031,7850,12893,68475,2792,12570,27391,17627,11217
218,499,610,648,516,744,732,79,230,612,715,636,195,268,155,295,137,615,549,388,184,309,335,201,467,335,566,300,312,310,131,406,371,190,117,283,0,335,94,187,365,207,67,111,592,24,108,236,152,96
219,171,209,222,177,255,251,27,79,210,245,218,67,92,53,101,47,211,188,133,63,106,115,69,160,115,194,103,107,106,45,139,127,65,40,97,0,115,32,64,125,71,23,38,203,8,37,81,52,33
220,58206,71107,75520,60238,86730,85370,9243,26943,71449,83313,74140,22818,31357,18102,34418,16058,71770,63955,45277,21512,36127,39174,23539,54450,39163,66005,35095,36461,36120,15383,47326,43269,22191,13681,33063,94,39167,10970,21849,42563,24234,7916,13001,69052,2816,12674,27620,17774,11310
221,16497,20160,21413,17074,24595,24216,2604,7633,20255,23634,21027,6466,8892,5134,9750,4557,20374,18149,12827,6082,10239,11104,6657,15433,11093,18713,9943,10330,10234,4350,13415,12283,6291,3878,9383,16,11102,3104,6188,12066,6868,2224,3671,19586,791,3581,7817,5037,3211
222,250466,306016,324956,259247,373291,367458,39688,115981,307449,358551,319083,98174,135041,78030,148136,69303,308959,275342,194992,92714,155597,168652,101332,234502,168678,284138,151153,156975,155494,66347,203642,186231,95541,58992,142385,485,168638,47343,94070,183250,104365,34226,56051,297166,12172,54603,118830,76551,48788
223,187892,229525,243747,194432,279952,275559,29772,87010,230619,268913,239284,73626,101252,58567,111178,51946,231742,206539,146153,69441,116702,126416,75945,175757,126388,213038,113278,117759,116667,49749,152801,139665,71745,44262,106793,351,126488,35467,70569,137462,78333,25598,42057,222974,9202,40991,89200,57435,36668
224,719103,878392,932846,744095,1071437,1054628,114049,332916,882569,1029135,915802,281890,387504,223998,425332,198802,886721,790296,559514,265974,446562,483919,290787,672898,483964,815443,433648,450661,446439,190436,584678,534389,274489,169236,408627,1280,483983,135765,269984,526028,299534,98103,160943,853164,35021,156649,341228,219705,140064
225,62494,76310,81093,64624,93100,91652,9931,28906,76705,89482,79621,24493,33702,19451,36914,17259,77114,68710,48572,23033,38967,42044,25242,58426,42013,70837,37625,39134,38762,16500,50852,46506,23863,14695,35513,112,42058,11750,23494,45719,26103,8439,14052,74166,3060,13628,29707,19099,12176
226,16032,19596,20823,16589,23915,23544,2548,7403,19698,22968,20478,6315,8646,4977,9469,4405,19784,17622,12470,5908,9943,10809,6515,15001,10797,18199,9657,10035,9937,4221,13031,11930,6094,3759,9096,20,10808,3007,6057,11716,6660,2158,3565,19041,760,3481,7596,4893,3103
227,1051666,1284779,1364378,1088359,1567149,1542614,166620,486869,1290807,1505367,1339549,412116,566780,327621,622075,290777,1297195,1156068,818307,388851,653374,707739,425189,984139,707755,1192701,634311,659051,652852,278355,855095,781691,401275,247514,597789,1988,708058,198587,395031,769404,438263,143350,235413,1247926,51090,229296,499311,321294,204880
228,1806077,2206176,2342804,1868994,2690852,2648556,286367,836525,2216720,2584510,2299879,707835,973377,562988,1068717,499717,2227157,1984973,1405315,668168,1122181,1215407,730459,1689902,1215472,2047975,1089270,1132037,1121501,478584,1468514,1342282,689740,425610,1026585,3810,1216024,341414,678640,1321290,753065,246761,404735,2142871,88311,394158,857850,552098,352405
229,2697238,3295255,3499372,2791534,4019280,3956248,428520,1248880,3310805,3861135,3435910,1058261,1454054,840109,1595563,745791,3326237,2964480,2099324,997958,1676589,1815867,1091341,2524451,1815954,3059242,1627393,1690249,1674299,714332,2193208,2004955,1028837,635340,1532814,5930,1815964,509542,1013621,1973177,1124558,368469,604553,3200183,131358,588316,1281329,824347,525300
230,622152,760063,807204,643939,927097,912545,98974,288059,763650,890591,792578,244116,335314,193769,368091,172006,767288,683779,484210,230156,386464,418770,251736,582266,418843,705654,375330,389874,386249,164739,505866,462384,237403,146525,353570,1218,418901,117523,233739,455153,259253,84913,139352,738262,30209,135637,295463,190150,121154
231,1379447,1685190,1789160,1427495,2055152,2022731,218742,639121,1693321,1973567,1756207,540493,743426,430141,816419,381730,1700443,1515685,1073702,510838,857466,928642,558208,1290962,928724,1564282,832230,864659,856665,365819,1121250,1025111,526711,325135,783926,3165,928794,261225,518445,1009074,575424,189210,309185,1636036,67448,300986,655107,421773,269165
232,1082069,1321798,1403555,1119646,1612156,1586846,171734,501036,1328137,1548558,1378001,424313,582968,337034,640107,298980,1334019,1188952,841901,400195,672238,728333,437665,1012419,728200,1226950,652556,678035,671712,286495,879665,804168,412712,254692,614782,2186,728228,204232,406275,791430,450887,147758,242326,1283481,52687,235711,513676,330725,210733
233,153647,187735,199496,158967,229041,225475,24455,71005,188698,220093,196029,60339,82709,47701,90745,42237,189511,168851,119477,56634,95305,103524,62292,143720,103422,174280,92532,96159,95266,40464,124917,114189,58440,35993,87206,148,103362,28812,57645,112292,63850,20727,34235,182333,7320,33339,72794,46907,29720
234,1986299,2426529,2577092,2055631,2959850,2913463,315065,919538,2438018,2843346,2530231,778926,1070396,618557,1174913,548876,2449834,2183244,1545515,734419,1233878,1336800,803246,1858675,1336780,2252638,1197917,1244562,1233058,525711,1615113,1476388,757917,467568,1128924,3446,1337137,374893,745917,1453087,827519,270673,444428,2357020,96558,432703,942696,607117,386847
235,2066387,2524550,2681304,2138483,3079563,3031415,328076,956436,2536633,2958690,2632793,810600,1113225,643302,1222158,570387,2549338,2271771,1607228,763055,1283173,1390382,835053,1933131,1390003,2343434,1245464,1294540,1282579,546084,1680123,1535664,788481,486125,1174772,3706,1391181,389535,775411,1511504,860545,280360,461646,2452382,100271,450283,981160,631400,402178
236,216216,264068,280516,223640,322099,317070,34336,100023,265338,309506,275398,84899,116433,67267,127759,59606,266646,237588,168043,79710,134248,145418,87326,202124,145331,245063,130187,135415,134137,57100,175814,160740,82575,50783,122772,240,145461,40649,81171,158108,90112,29236,48262,256524,10479,47061,102496,66023,42040
237,34378,42014,44609,35604,51249,50447,5482,15921,42199,49227,43821,13493,18564,10705,20336,9528,42384,37784,26822,12784,21412,23177,13953,32243,23215,39039,20797,21557,21347,9139,27946,25542,13078,8107,19544,115,23152,6518,12939,25166,14327,4758,7770,40789,1655,7491,16374,10513,6674
238,1795352,2193278,2329383,1857966,2675290,2633385,285319,831117,2203710,2570238,2287166,704653,967438,559022,1061878,495974,2214435,1973409,1396668,663437,1114909,1208168,725921,1679702,1208027,2035962,1082427,1124917,1114430,474987,1459935,1334370,685251,422571,1020224,3193,1208618,338707,674159,1313305,748096,244247,401512,2130628,87397,391278,852159,548460,349630
239,592670,723985,768858,613253,883112,869285,93907,274309,727483,848379,754864,232321,319260,184466,350482,163619,730967,651366,460962,218935,368308,398796,239467,554410,398636,672005,357245,371240,367847,156683,481851,440529,226080,139383,336780,974,398910,111737,222508,433455,246952,80556,132476,703213,28693,129004,281218,181023,115337
240,242875,296686,314995,251358,361865,356178,38466,112512,298103,347541,309248,95154,130955,75734,143748,67261,299450,266901,189060,89969,151109,163532,98272,227338,163541,275435,146604,152228,150848,64407,197442,180577,92698,57258,138057,603,163478,45984,91290,177696,101341,33325,54550,288064,11873,53008,115431,74314,47412
241,321343,392611,417021,332554,478968,471486,51004,148684,394478,460230,409536,126067,173342,100071,189991,88857,396547,353365,250007,118671,199719,216272,129890,300722,216247,364504,193736,201342,199458,84970,261409,238910,122731,75715,182711,626,216407,60641,120689,235128,134114,43607,71980,381476,15678,70272,152617,98161,62595
242,2171701,2652772,2817294,2247253,3235756,3185009,344906,1005423,2665394,3108480,2766106,851695,1170235,676315,1284618,600181,2678095,2386782,1689539,802898,1348848,1461459,878135,2031845,1461299,2462568,1309513,1360850,1348194,574857,1765981,1614182,828789,510871,1234037,3764,1461693,409769,815478,1588613,904755,295964,486108,2576591,105898,473102,1030633,663692,423117
243,149326,182372,193674,154494,222429,218924,23718,69184,183265,213640,190118,58510,80476,46570,88376,41333,184069,164071,116182,55254,92835,100494,60428,139694,100493,169290,90061,93597,92723,39588,121403,110975,56994,35202,84871,376,100498,28216,56099,109233,62277,20437,33560,177083,7320,32625,71019,45682,29154
244,320475,391351,415515,331604,477305,469758,50864,148464,393235,458391,407910,125617,172599,99834,189710,88657,394852,351923,249373,118740,199205,215716,129696,299851,215720,363303,193371,200837,199035,85006,260498,238146,122249,75395,182061,664,215597,60579,120363,234346,133525,44008,71817,379869,15623,69799,152098,98075,62495
245,513452,627194,666083,531379,765062,753046,81471,237774,630163,734918,653977,201338,276778,159969,303813,141991,633247,564371,399546,189926,319032,345580,207666,480484,345588,582286,309742,321761,318818,136011,417530,381685,195986,120937,291856,1022,345687,96996,192877,375649,214014,70096,114990,609254,25121,111975,243763,156995,100134
246,67965,83002,88141,70289,101226,99626,10844,31461,83444,97280,86544,26690,36591,21147,40194,18735,83757,74645,52830,25084,42403,45754,27478,63524,45692,77020,40941,42535,42159,17957,55233,50525,25888,15975,38585,178,45709,12793,25552,49673,28390,9248,15286,80568,3271,14841,32388,20754,13226
247,2798044,3418195,3629931,2895848,4169400,4104035,444265,1295463,3434375,4005422,3564212,1097739,1507849,871354,1655348,773351,3451020,3075333,2176992,1034512,1737900,1883245,1131374,2618112,1882891,3173112,1687634,1753107,1737054,740407,2275153,2080149,1067814,658852,1590326,5142,1883686,528345,1050730,2046771,1166330,381363,625950,3319837,136158,610215,1327962,855506,545167
248,4355215,5320681,5650189,4507409,6489866,6388065,691755,2016852,5345957,6234268,5547745,1708339,2347769,1356882,2576674,1204299,5371409,4787076,3389468,1611170,2706334,2931824,1761805,4075925,2931800,4939528,2627336,2729394,2704099,1153565,3541242,3237369,1662193,1025936,2475466,9133,2932361,823012,1636274,3186245,1815669,594801,975549,5168019,212488,949719,2068316,1331212,848788
249,9053674,11060502,11746294,9369706,13491395,13279988,1437152,4191335,11112940,12960923,11533277,3552065,4879056,2819708,5355542,2502225,11167049,9951631,7044177,3347053,5623206,6093416,3660907,8471709,6092768,10267627,5460038,5672894,5620329,2395910,7361855,6729813,3454896,2131154,5145627,16279,6095261,1708914,3399844,6623078,3772643,1233334,2025628,10743497,440270,1973540,4297305,2767065,1763557
