,BLInv1,BLInv2,BLInv3,BLInv4,BLInv5,BLInv6,BLNat1,BLNat2,BLNat3,BLNat4,BLNat5,BLNat6,CBInv1,CBInv2,CBInv3,CBNat1,CBNat2,CBNat3,CHInv1,CHInv3,CHInv4,CHInv5,CHNat1,CHNat2,CHNat3,CHNat4,CHNat5,CMInv1,CMInv2,CMInv3,CMNat1,CMNat2,CMNat3,CRInv1,CRInv2,CRInv3,CRNat1,CRNat2,CRNat3,PLBInv1,PLBNat1,Rt2Inv1,Rt2Inv2,Rt2Inv3,Rt2Nat1,Rt2Nat2,Rt2Nat3,SBInv1,SBNat1
BLNat5,0.50736,0.451988,0.389114,0.493371,0.376925,0.402983,0.611153,0.662122,0.404271,0.242383,0,0.573528,0.656704,0.751948,0.691238,0.79418,0.486689,0.475592,0.56241,0.719391,0.636899,0.565083,0.53629,0.517209,0.52565,0.429646,0.654292,0.660025,0.677954,0.772072,0.634812,0.634195,0.785455,0.791027,0.673019,0.87648,0.622598,0.83183,0.712907,0.6303,0.75118,0.799106,0.783356,0.522197,0.864491,0.819414,0.687892,0.755209,0.822277
BLNat6,0.797876,0.812354,0.760836,0.826172,0.793375,0.815706,0.369296,0.778205,0.776215,0.657739,0.573528,0,0.797952,0.839828,0.820669,0.851033,0.800435,0.803298,0.79906,0.829981,0.804716,0.71401,0.680081,0.797288,0.750547,0.77229,0.824863,0.817056,0.824967,0.845095,0.811739,0.816458,0.829764,0.866615,0.816832,0.941868,0.81541,0.866954,0.805369,0.824139,0.808557,0.902174,0.882404,0.830346,0.927615,0.877402,0.830195,0.832025,0.866164
CBInv1,0.614499,0.646876,0.651646,0.621431,0.623164,0.593462,0.819687,0.611362,0.674596,0.675426,0.656704,0.797952,0,0.546892,0.562758,0.676387,0.611161,0.541671,0.557836,0.621418,0.632963,0.668983,0.569979,0.551244,0.564164,0.588702,0.563182,0.486781,0.571611,0.65118,0.488004,0.590903,0.658899,0.662447,0.53259,0.681153,0.569743,0.661052,0.546238,0.539292,0.619369,0.691089,0.687963,0.610528,0.676164,0.726602,0.6637,0.631215,0.643381
CBInv2,0.63488,0.717149,0.717416,0.65177,0.702623,0.658497,0.826195,0.572075,0.742046,0.760021,0.751948,0.839828,0.546892,0,0.532536,0.581089,0.657472,0.578667,0.583201,0.574528,0.65842,0.709058,0.579425,0.602302,0.634756,0.658199,0.587133,0.492592,0.608472,0.561669,0.62124,0.628263,0.636807,0.549275,0.581986,0.622139,0.636928,0.544789,0.514021,0.540636,0.5683,0.598843,0.605749,0.685758,0.717834,0.699041,0.66052,0.572797,0.549855
CBInv3,0.531126,0.662526,0.648865,0.523476,0.629257,0.610277,0.847733,0.502377,0.633934,0.65936,0.691238,0.820669,0.562758,0.532536,0,0.5257,0.654981,0.577429,0.563687,0.582064,0.484696,0.504232,0.594406,0.565234,0.620932,0.504528,0.528642,0.43993,0.395917,0.483431,0.502499,0.500482,0.635969,0.65477,0.581211,0.744277,0.603476,0.626894,0.62246,0.447739,0.580424,0.661636,0.698783,0.675673,0.770571,0.724559,0.623838,0.462364,0.567665
CBNat1,0.70699,0.777072,0.752793,0.67188,0.76195,0.749801,0.853747,0.637197,0.73464,0.75182,0.79418,0.851033,0.676387,0.581089,0.5257,0,0.735128,0.637195,0.729449,0.721983,0.658424,0.559636,0.687288,0.722882,0.764041,0.632936,0.702325,0.570654,0.574375,0.468309,0.613501,0.628342,0.640269,0.706478,0.725006,0.734948,0.734493,0.676058,0.713509,0.527627,0.621507,0.732489,0.724319,0.761894,0.756207,0.72994,0.70765,0.577977,0.621188
CBNat2,0.543839,0.524234,0.479843,0.53736,0.489611,0.498106,0.837284,0.694203,0.470232,0.467497,0.486689,0.800435,0.611161,0.657472,0.654981,0.735128,0,0.433219,0.655952,0.783803,0.703934,0.683826,0.732662,0.596749,0.651265,0.525462,0.718188,0.63776,0.618919,0.731186,0.583319,0.585917,0.682785,0.777228,0.679547,0.847555,0.614306,0.740054,0.671838,0.58807,0.652327,0.83376,0.837876,0.461781,0.864559,0.792159,0.736087,0.740961,0.695576
CBNat3,0.481857,0.467414,0.455872,0.477054,0.451706,0.441217,0.827474,0.594957,0.477615,0.488381,0.475592,0.803298,0.541671,0.578667,0.577429,0.637195,0.433219,0,0.577427,0.70735,0.644188,0.680106,0.675371,0.537762,0.617298,0.475097,0.653139,0.561304,0.594335,0.663954,0.55354,0.563364,0.637149,0.664482,0.591406,0.771104,0.543826,0.718847,0.611907,0.510269,0.609834,0.757658,0.75365,0.448,0.747735,0.750482,0.680043,0.671143,0.64989
CHInv1,0.502023,0.466046,0.512677,0.445845,0.442586,0.460826,0.825658,0.523528,0.532747,0.58429,0.56241,0.79906,0.557836,0.583201,0.563687,0.729449,0.655952,0.577427,0,0.341085,0.497766,0.573899,0.426979,0.330114,0.36983,0.391362,0.320462,0.500288,0.564855,0.669205,0.598673,0.545043,0.756836,0.611132,0.535263,0.696257,0.506839,0.605311,0.572586,0.547909,0.659553,0.465832,0.579526,0.628694,0.853132,0.783354,0.59966,0.657484,0.729868
CHInv3,0.615867,0.599536,0.668923,0.534319,0.554592,0.591725,0.848207,0.5693,0.687447,0.720832,0.719391,0.829981,0.621418,0.574528,0.582064,0.721983,0.783803,0.70735,0.341085,0,0.58565,0.651598,0.458033,0.395406,0.46559,0.516321,0.358493,0.551315,0.604087,0.637311,0.701706,0.641232,0.755062,0.604609,0.57241,0.71275,0.610834,0.577402,0.58188,0.647037,0.669679,0.420503,0.572352,0.764238,0.866938,0.783408,0.625201,0.57095,0.67512
