# Constructed from biom file
#OTU ID	BLInv1	BLInv2	BLInv3	BLInv4	BLInv5	BLInv6	BLNat1	BLNat2	BLNat3	BLNat4	BLNat5	BLNat6	CBInv1	CBInv2	CBInv3	CBNat1	CBNat2	CBNat3	CHInv1	CHInv3	CHInv4	CHInv5	CHNat1	CHNat2	CHNat3	CHNat4	CHNat5	CMInv1	CMInv2	CMInv3	CMNat1	CMNat2	CMNat3	CRInv1	CRInv2	CRInv3	CRNat1	CRNat2	CRNat3	PLBInv1	PLBNat1	Rt2Inv1	Rt2Inv2	Rt2Inv3	Rt2Nat1	Rt2Nat2	Rt2Nat3	SBInv1	SBNat1	KEGG_Pathways
Ascorbate and aldarate metabolism	491677.0	600603.0	637791.0	508871.0	732612.0	721114.0	78000.0	227676.0	603384.0	703787.0	626240.0	192854.0	265059.0	153211.0	290964.0	136095.0	606382.0	540409.0	382595.0	181919.0	305769.0	330912.0	198838.0	460122.0	330927.0	557594.0	296662.0	308147.0	305275.0	130252.0	399808.0	365522.0	187664.0	115851.0	279552.0	1061.0	331057.0	92893.0	184792.0	359713.0	205138.0	67127.0	110153.0	583245.0	23961.0	107410.0	233594.0	150359.0	95945.0	Metabolism; Carbohydrate Metabolism; Ascorbate and aldarate metabolism
Atrazine degradation	171828.0	209897.0	222864.0	177833.0	256003.0	251980.0	27145.0	79598.0	210874.0	245818.0	218759.0	67322.0	92610.0	53577.0	101686.0	47596.0	211846.0	188823.0	133764.0	63681.0	106821.0	115681.0	69531.0	160857.0	115709.0	194865.0	103727.0	107712.0	106749.0	45585.0	139687.0	127706.0	65555.0	40471.0	97678.0	351.0	115650.0	32536.0	64556.0	125721.0	71574.0	23603.0	38491.0	203844.0	8347.0	37429.0	81536.0	52568.0	33522.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Atrazine degradation
Bacterial chemotaxis	1755004.0	2143484.0	2276057.0	1815583.0	2614330.0	2573085.0	278798.0	813096.0	2154111.0	2510856.0	2234490.0	687470.0	945586.0	547524.0	1038437.0	485822.0	2163493.0	1928495.0	1365574.0	649488.0	1089795.0	1181443.0	710283.0	1642061.0	1181308.0	1989804.0	1058364.0	1100027.0	1089705.0	465378.0	1426728.0	1304053.0	669932.0	413643.0	997283.0	4148.0	1181183.0	332198.0	659164.0	1283682.0	731307.0	240341.0	393151.0	2081382.0	86119.0	383196.0	833036.0	536627.0	342706.0	Cellular Processes; Cell Motility; Bacterial chemotaxis
Bacterial invasion of epithelial cells	2985.0	3646.0	3877.0	3087.0	4449.0	4381.0	472.0	1379.0	3663.0	4274.0	3807.0	1170.0	1605.0	931.0	1761.0	820.0	3682.0	3280.0	2320.0	1101.0	1857.0	2012.0	1208.0	2791.0	2010.0	3384.0	1798.0	1870.0	1848.0	787.0	2427.0	2217.0	1134.0	711.0	1697.0	25.0	2010.0	560.0	1117.0	2183.0	1241.0	403.0	675.0	3543.0	141.0	668.0	1440.0	932.0	577.0	Human Diseases; Infectious Diseases; Bacterial invasion of epithelial cells
Bacterial motility proteins	4400872.0	5374898.0	5707075.0	4553067.0	6555466.0	6451979.0	698392.0	2038769.0	5401275.0	6295731.0	5602621.0	1723694.0	2370554.0	1372292.0	2604541.0	1217222.0	5424118.0	4834877.0	3424266.0	1628908.0	2732748.0	2962312.0	1780815.0	4117446.0	2961996.0	4989365.0	2654231.0	2758201.0	2732828.0	1166845.0	3577387.0	3269820.0	1679130.0	1036550.0	2500201.0	9525.0	2961161.0	832186.0	1652265.0	3218559.0	1832675.0	602941.0	985815.0	5218986.0	215404.0	958912.0	2088601.0	1345820.0	858658.0	Cellular Processes; Cell Motility; Bacterial motility proteins
Bacterial secretion system	2124744.0	2595579.0	2756063.0	2198826.0	3165777.0	3116025.0	337146.0	984083.0	2608104.0	3040657.0	2705710.0	832918.0	1144876.0	662066.0	1257200.0	587397.0	2619931.0	2335038.0	1653175.0	786111.0	1320479.0	1430077.0	859238.0	1988037.0	1429879.0	2409346.0	1281408.0	1331440.0	1319246.0	562674.0	1727213.0	1579118.0	810845.0	500349.0	1207578.0	4356.0	1430577.0	401483.0	798141.0	1554087.0	885707.0	290224.0	475249.0	2520562.0	103411.0	463287.0	1008686.0	649352.0	414156.0	Environmental Information Processing; Membrane Transport; Bacterial secretion system
Bacterial toxins	230924.0	282166.0	299597.0	239027.0	344166.0	338775.0	36709.0	106919.0	283459.0	330596.0	294210.0	90625.0	124519.0	71964.0	136619.0	63906.0	284799.0	253835.0	179826.0	85536.0	143408.0	155518.0	93482.0	216249.0	155583.0	261995.0	139390.0	144799.0	143377.0	61222.0	187779.0	171647.0	88113.0	54406.0	131253.0	461.0	155505.0	43683.0	86776.0	168977.0	96205.0	31636.0	51736.0	274003.0	11275.0	50344.0	109592.0	70584.0	44967.0	Environmental Information Processing; Signaling Molecules and Interaction; Bacterial toxins
Basal transcription factors	12526.0	15306.0	16240.0	12953.0	18660.0	18369.0	1974.0	5799.0	15384.0	17919.0	15938.0	4900.0	6738.0	3892.0	7403.0	3442.0	15429.0	13751.0	9737.0	4626.0	7780.0	8438.0	5058.0	11711.0	8419.0	14195.0	7548.0	7847.0	7770.0	3304.0	10169.0	9328.0	4765.0	2937.0	7102.0	11.0	8418.0	2356.0	4695.0	9153.0	5211.0	1709.0	2786.0	14844.0	600.0	2714.0	5933.0	3820.0	2432.0	Genetic Information Processing; Transcription; Basal transcription factors
Base excision repair	1088557.0	1329876.0	1412351.0	1126535.0	1622189.0	1596814.0	172695.0	503848.0	1336229.0	1558541.0	1386772.0	427066.0	586556.0	338778.0	643769.0	300555.0	1342755.0	1196517.0	846754.0	402157.0	675920.0	732614.0	439957.0	1018422.0	732352.0	1234466.0	656311.0	681950.0	675603.0	287810.0	885131.0	809384.0	415408.0	256131.0	618548.0	1691.0	732792.0	205237.0	408661.0	796200.0	453584.0	147947.0	243228.0	1291796.0	52866.0	237170.0	516552.0	332468.0	211913.0	Genetic Information Processing; Replication and Repair; Base excision repair
Benzoate degradation	1587969.0	1939450.0	2059671.0	1643570.0	2365746.0	2328556.0	251313.0	735537.0	1948284.0	2272274.0	2021970.0	622328.0	855847.0	495033.0	940285.0	439573.0	1958239.0	1745318.0	1235516.0	587735.0	986346.0	1068524.0	642092.0	1485839.0	1068519.0	1800518.0	958268.0	995364.0	986413.0	421045.0	1291562.0	1180840.0	606499.0	373998.0	902793.0	2779.0	1069057.0	299982.0	596655.0	1161925.0	661886.0	217120.0	355619.0	1883762.0	77951.0	346319.0	753504.0	486458.0	310387.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Benzoate degradation
